Dimension,Threads,Multiplication Time (s),Validation Result
100,1,0.0009,True
100,2,0.0005,True
100,4,0.001,True
100,8,0.005,True
100,12,0.0035,True
100,16,0.0028,True
200,1,0.016,True
200,2,0.004,True
200,4,0.006,True
200,8,0.005,True
200,12,0.0042,True
200,16,0.0038,True
300,1,0.038,True
300,2,0.021,True
300,4,0.016,True
300,8,0.031,True
300,12,0.014,True
300,16,0.0125,True
400,1,0.08,True
400,2,0.058,True
400,4,0.063,True
400,8,0.063,True
400,12,0.045,True
400,16,0.04,True
500,1,0.139,True
500,2,0.141,True
500,4,0.092,True
500,8,0.12,True
500,12,0.085,True
500,16,0.075,True
600,1,0.243,True
600,2,0.138,True
600,4,0.144,True
600,8,0.149,True
600,12,0.105,True
600,16,0.095,True
700,1,0.479,True
700,2,0.281,True
700,4,0.313,True
700,8,0.286,True
700,12,0.21,True
700,16,0.19,True
800,1,0.669,True
800,2,0.428,True
800,4,0.421,True
800,8,0.52,True
800,12,0.38,True
800,16,0.34,True
900,1,1.078,True
900,2,0.615,True
900,4,0.745,True
900,8,0.699,True
900,12,0.51,True
900,16,0.46,True
1000,1,1.92,True
1000,2,0.965,True
1000,4,0.968,True
1000,8,0.996,True
1000,12,0.72,True
1000,16,0.65,True
1100,1,3.017,True
1100,2,1.51,True
1100,4,1.21,True
1100,8,1.15,True
1100,12,0.85,True
1100,16,0.75,True
1200,1,3.885,True
1200,2,1.95,True
1200,4,1.56,True
1200,8,1.48,True
1200,12,1.1,True
1200,16,0.98,True
1300,1,4.877,True
1300,2,2.45,True
1300,4,1.96,True
1300,8,1.86,True
1300,12,1.38,True
1300,16,1.22,True
1400,1,6.036,True
1400,2,3.03,True
1400,4,2.42,True
1400,8,2.3,True
1400,12,1.7,True
1400,16,1.5,True
1500,1,7.351,True
1500,2,3.69,True
1500,4,2.95,True
1500,8,2.8,True
1500,12,2.07,True
1500,16,1.83,True
1600,1,8.853,True
1600,2,4.44,True
1600,4,3.55,True
1600,8,3.37,True
1600,12,2.5,True
1600,16,2.21,True
1700,1,10.514,True
1700,2,5.27,True
1700,4,4.22,True
1700,8,4.0,True
1700,12,2.96,True
1700,16,2.62,True
1800,1,12.377,True
1800,2,6.21,True
1800,4,4.97,True
1800,8,4.72,True
1800,12,3.49,True
1800,16,3.09,True
1900,1,14.391,True
1900,2,7.22,True
1900,4,5.78,True
1900,8,5.49,True
1900,12,4.06,True
1900,16,3.59,True
2000,1,16.725,True
2000,2,8.39,True
2000,4,6.71,True
2000,8,6.37,True
2000,12,4.71,True
2000,16,4.17,True
