size,param,time,gflops
100,1,0,inf
100,2,1,2
100,4,1,2
100,8,1,2
100,16,1,2
100,32,1,2
100,64,1,2
100,128,0,inf
200,1,2,8
200,2,2,8
200,4,2,8
200,8,2,8
200,16,2,8
200,32,2,8
200,64,2,8
200,128,2,8
300,1,5,10.8
300,2,5,10.8
300,4,5,10.8
300,8,5,10.8
300,16,5,10.8
300,32,5,10.8
300,64,5,10.8
300,128,5,10.8
400,1,9,14.2222
400,2,10,12.8
400,4,9,14.2222
400,8,9,14.2222
400,16,9,14.2222
400,32,10,12.8
400,64,9,14.2222
400,128,9,14.2222
500,1,21,11.9048
500,2,21,11.9048
500,4,20,12.5
500,8,29,8.62069
500,16,19,13.1579
500,32,14,17.8571
500,64,14,17.8571
500,128,14,17.8571
600,1,20,21.6
600,2,20,21.6
600,4,21,20.5714
600,8,20,21.6
600,16,21,20.5714
600,32,20,21.6
600,64,20,21.6
600,128,20,21.6
700,1,27,25.4074
700,2,28,24.5
700,4,27,25.4074
700,8,27,25.4074
700,16,30,22.8667
700,32,28,24.5
700,64,29,23.6552
700,128,27,25.4074
800,1,36,28.4444
800,2,37,27.6757
800,4,37,27.6757
800,8,35,29.2571
800,16,36,28.4444
800,32,56,18.2857
800,64,53,19.3208
800,128,49,20.898
900,1,44,33.1364
900,2,45,32.4
900,4,45,32.4
900,8,57,25.5789
900,16,44,33.1364
900,32,44,33.1364
900,64,44,33.1364
900,128,44,33.1364
1000,1,56,35.7143
1000,2,55,36.3636
1000,4,56,35.7143
1000,8,58,34.4828
1000,16,55,36.3636
1000,32,55,36.3636
1000,64,59,33.8983
1000,128,56,35.7143
2000,1,253,63.2411
2000,2,228,70.1754
2000,4,266,60.1504
2000,8,312,51.2821
2000,16,314,50.9554
2000,32,301,53.1561
2000,64,220,72.7273
2000,128,227,70.4846
3000,1,532,101.504
3000,2,509,106.09
3000,4,500,108
3000,8,494,109.312
3000,16,494,109.312
3000,32,556,97.1223
3000,64,710,76.0563
3000,128,670,80.597
4000,1,994,128.773
4000,2,897,142.698
4000,4,1269,100.867
4000,8,882,145.125
4000,16,895,143.017
4000,32,879,145.62
4000,64,918,139.434
4000,128,881,145.289
